movieId,title,genres,rating,genre,year_y,score,director,writer,star,country,company
21,get shorty,Comedy|Crime|Thriller,R,Comedy,1995,6.9,Barry Sonnenfeld,Elmore Leonard,Gene Hackman,United States,Metro-Goldwyn-Mayer (MGM)
22,copycat,Crime|Drama|Horror|Mystery|Thriller,R,Drama,1995,6.6,Jon Amiel,Ann Biderman,Sigourney Weaver,United States,New Regency Productions
23,assassins,Action|Crime|Thriller,R,Action,1995,6.3,Richard Donner,Lilly Wachowski,Sylvester Stallone,France,Warner Bros.
24,powder,Drama|Sci-Fi,PG-13,Drama,1995,6.6,Victor Salva,Victor Salva,Mary Steenburgen,United States,Caravan Pictures
25,leaving las vegas,Drama|Romance,R,Drama,1995,7.5,Mike Figgis,John O'Brien,Nicolas Cage,United States,Lumiere Pictures
26,othello,Drama,R,Drama,1995,6.9,Oliver Parker,Oliver Parker,Laurence Fishburne,United States,Castle Rock Entertainment
27,now and then,Children|Drama,PG-13,Comedy,1995,6.8,Lesli Linka Glatter,I. Marlene King,Christina Ricci,United States,New Line Cinema
31,dangerous minds,Drama,R,Biography,1995,6.5,John N. Smith,LouAnne Johnson,Michelle Pfeiffer,United States,Hollywood Pictures
34,babe,Children|Drama,G,Comedy,1995,6.8,Chris Noonan,Dick King-Smith,James Cromwell,Australia,Universal Pictures
36,dead man walking,Crime|Drama,R,Crime,1995,7.5,Tim Robbins,Helen Prejean,Susan Sarandon,United Kingdom,Havoc
38,it takes two,Children|Comedy,PG-13,Comedy,1988,5.4,David Beaird,Richard Christian Matheson,George Newbern,United States,United Artists
38,it takes two,Children|Comedy,PG,Comedy,1995,5.9,Andy Tennant,Deborah Dean Davis,Kirstie Alley,United States,Dualstar Productions
39,clueless,Comedy|Romance,PG-13,Comedy,1995,6.8,Amy Heckerling,Amy Heckerling,Alicia Silverstone,United States,Paramount Pictures
41,richard iii,Drama|War,R,Drama,1995,7.4,Richard Loncraine,Ian McKellen,Ian McKellen,United Kingdom,Mayfair Entertainment International
42,dead presidents,Action|Crime|Drama,R,Action,1995,6.9,Albert Hughes,Allen Hughes,Larenz Tate,United States,Caravan Pictures
43,restoration,Drama,R,Biography,1995,6.6,Michael Hoffman,Rose Tremain,Robert Downey Jr.,United States,Avenue Pictures
44,mortal kombat,Action|Adventure|Fantasy,PG-13,Action,1995,5.8,Paul W.S. Anderson,Ed Boon,Christopher Lambert,United States,New Line Cinema
45,to die for,Comedy|Drama|Thriller,R,Comedy,1995,6.8,Gus Van Sant,Joyce Maynard,Nicole Kidman,United States,Columbia Pictures
46,how to make an american quilt,Drama|Romance,PG-13,Comedy,1995,6.3,Jocelyn Moorhouse,Whitney Otto,Winona Ryder,United States,Universal Pictures
48,pocahontas,Animation|Children|Drama|Musical|Romance,G,Animation,1995,6.7,Mike Gabriel,Carl Binder,Mel Gibson,United States,Walt Disney Pictures
49,when night is falling,Drama|Romance,Unrated,Drama,1995,6.5,Patricia Rozema,Patricia Rozema,Pascale Bussières,Canada,Alliance Communications Corporation
52,mighty aphrodite,Comedy|Drama|Romance,R,Comedy,1995,7.0,Woody Allen,Woody Allen,Woody Allen,United States,Sweetland Films
55,georgia,Drama,R,Drama,1995,6.6,Ulu Grosbard,Barbara Turner,Jennifer Jason Leigh,France,CiBy 2000
57,home for the holidays,Drama,PG-13,Comedy,1995,6.6,Jodie Foster,Chris Radant,Holly Hunter,United States,Paramount Pictures
61,eye for an eye,Drama|Thriller,R,Crime,1996,6.2,John Schlesinger,Erika Holzer,Sally Field,United States,Paramount Pictures
62,mr. holland's opus,Drama,PG,Drama,1995,7.3,Stephen Herek,Patrick Sheane Duncan,Richard Dreyfuss,United States,Hollywood Pictures
63,don't be a menace to south central while drinking your juice in the hood,Comedy|Crime,R,Comedy,1996,6.6,Paris Barclay,Shawn Wayans,Shawn Wayans,United States,Island Pictures
64,two if by sea,Comedy|Romance,R,Comedy,1996,5.2,Bill Bennett,Denis Leary,Sandra Bullock,United States,Morgan Creek Entertainment
65,bio-dome,Comedy,PG-13,Comedy,1996,4.4,Jason Bloom,Adam Leff,Pauly Shore,United States,Metro-Goldwyn-Mayer (MGM)
66,lawnmower man 2: beyond cyberspace,Action|Sci-Fi|Thriller,PG-13,Action,1996,2.5,Farhad Mann,Farhad Mann,Patrick Bergin,United States,New Line Cinema
69,friday,Comedy,R,Comedy,1995,7.3,F. Gary Gray,Ice Cube,Ice Cube,United States,New Line Cinema
70,from dusk till dawn,Action|Comedy|Horror|Thriller,R,Action,1996,7.2,Robert Rodriguez,Robert Kurtzman,Harvey Keitel,United States,Dimension Films
71,fair game,Action,R,Action,1995,4.3,Andrew Sipes,Paula Gosling,William Baldwin,United States,Warner Bros.
71,fair game,Action,PG-13,Biography,2010,6.8,Doug Liman,Jez Butterworth,Naomi Watts,United States,River Road Entertainment
72,kicking and screaming,Comedy|Drama,R,Comedy,1995,6.8,Noah Baumbach,Noah Baumbach,Josh Hamilton,United States,Trimark Pictures
74,bed of roses,Drama|Romance,PG,Drama,1996,6.1,Michael Goldenberg,Michael Goldenberg,Christian Slater,United States,Juno Pix
76,screamers,Action|Sci-Fi|Thriller,R,Horror,1995,6.4,Christian Duguay,Philip K. Dick,Peter Weller,Canada,Triumph Films
81,things to do in denver when you're dead,Crime|Drama|Romance,R,Crime,1995,6.8,Gary Fleder,Scott Rosenberg,Andy Garcia,United States,Miramax
85,angels and insects,Drama|Romance,R,Drama,1995,6.8,Philip Haas,A.S. Byatt,Mark Rylance,United Kingdom,Playhouse International Pictures
86,white squall,Action|Adventure|Drama,PG-13,Adventure,1996,6.6,Ridley Scott,Charles Gieg Jr.,Jeff Bridges,United States,Hollywood Pictures
87,dunston checks in,Children|Comedy,PG,Adventure,1996,5.4,Ken Kwapis,John Hopkins,Jason Alexander,United States,Joe Wizan/Todd Black
88,black sheep,Comedy,PG-13,Comedy,1996,6.3,Penelope Spheeris,Fred Wolf,Chris Farley,United States,Broadway Pictures
88,black sheep,Comedy,Not Rated,Comedy,2006,5.8,Jonathan King,Jonathan King,Oliver Driver,New Zealand,New Zealand Film Commission
55553,black sheep,Comedy|Horror,PG-13,Comedy,1996,6.3,Penelope Spheeris,Fred Wolf,Chris Farley,United States,Broadway Pictures
55553,black sheep,Comedy|Horror,Not Rated,Comedy,2006,5.8,Jonathan King,Jonathan King,Oliver Driver,New Zealand,New Zealand Film Commission
89,nick of time,Action|Thriller,R,Action,1995,6.3,John Badham,Patrick Sheane Duncan,Johnny Depp,United States,Paramount Pictures
92,mary reilly,Drama|Horror|Thriller,R,Drama,1996,5.8,Stephen Frears,Valerie Martin,Julia Roberts,United States,NFH Productions
93,vampire in brooklyn,Comedy|Horror|Romance,R,Comedy,1995,4.6,Wes Craven,Eddie Murphy,Eddie Murphy,United States,Eddie Murphy Productions
94,beautiful girls,Comedy|Drama|Romance,R,Comedy,1996,7.1,Ted Demme,Scott Rosenberg,Matt Dillon,United States,Miramax
95,broken arrow,Action|Adventure|Thriller,R,Action,1996,6.0,John Woo,Graham Yost,John Travolta,United States,Twentieth Century Fox
54121,broken arrow,Drama|Romance|Western,R,Action,1996,6.0,John Woo,Graham Yost,John Travolta,United States,Twentieth Century Fox
100,city hall,Drama|Thriller,R,Drama,1996,6.2,Harold Becker,Ken Lipper,Al Pacino,United States,Castle Rock Entertainment
101,bottle rocket,Adventure|Comedy|Crime|Romance,R,Comedy,1996,7.0,Wes Anderson,Owen Wilson,Luke Wilson,United States,Columbia Pictures
102,mr. wrong,Comedy,PG-13,Comedy,1996,3.8,Nick Castle,Chris Matheson,Ellen DeGeneres,United States,Mandeville Films
103,unforgettable,Mystery|Sci-Fi|Thriller,R,Drama,1996,6.0,John Dahl,Bill Geddie,Ray Liotta,United States,Dino De Laurentiis Company
103,unforgettable,Mystery|Sci-Fi|Thriller,R,Drama,2017,5.1,Denise Di Novi,Christina Hodson,Rosario Dawson,United States,DiNovi Pictures
104,happy gilmore,Comedy,PG-13,Comedy,1996,7.0,Dennis Dugan,Tim Herlihy,Adam Sandler,United States,Universal Pictures
107,muppet treasure island,Adventure|Children|Comedy|Musical,G,Action,1996,7.0,Brian Henson,Robert Louis Stevenson,Tim Curry,United States,Walt Disney Pictures
110,braveheart,Action|Drama|War,R,Biography,1995,8.3,Mel Gibson,Randall Wallace,Mel Gibson,United States,Icon Entertainment International
113,before and after,Drama|Mystery,PG-13,Crime,1996,6.1,Barbet Schroeder,Rosellen Brown,Meryl Streep,United States,Caravan Pictures
118,if lucy fell,Comedy|Romance,R,Comedy,1996,4.9,Eric Schaeffer,Eric Schaeffer,Sarah Jessica Parker,United States,Motion Picture Corporation of America (MPCA)
122,boomerang,Comedy|Romance,R,Comedy,1992,5.5,Reginald Hudlin,Barry W. Blaustein,Eddie Murphy,United States,Paramount Pictures
125,flirting with disaster,Comedy,R,Comedy,1996,6.7,David O. Russell,David O. Russell,Ben Stiller,United States,Miramax
132,jade,Thriller,R,Crime,1995,5.3,William Friedkin,Joe Eszterhas,David Caruso,United States,Paramount Pictures
135,down periscope,Comedy,PG-13,Comedy,1996,6.2,David S. Ward,Hugh Wilson,Kelsey Grammer,United States,Twentieth Century Fox
145,bad boys,Action|Comedy|Crime|Drama|Thriller,R,Crime,1983,7.2,Rick Rosenthal,Richard Di Lello,Sean Penn,United States,EMI Films
145,bad boys,Action|Comedy|Crime|Drama|Thriller,R,Action,1995,6.9,Michael Bay,George Gallo,Will Smith,United States,Don Simpson/Jerry Bruckheimer Films
150,apollo 13,Adventure|Drama|IMAX,PG,Adventure,1995,7.6,Ron Howard,Jim Lovell,Tom Hanks,United States,Universal Pictures
151,rob roy,Action|Drama|Romance|War,R,Adventure,1995,6.9,Michael Caton-Jones,Alan Sharp,Liam Neeson,United Kingdom,United Artists
153,batman forever,Action|Adventure|Comedy|Crime,PG-13,Action,1995,5.4,Joel Schumacher,Bob Kane,Val Kilmer,United States,Warner Bros.
155,beyond rangoon,Adventure|Drama|War,R,Action,1995,6.6,John Boorman,Alex Lasker,Patricia Arquette,United Kingdom,Castle Rock Entertainment
156,blue in the face,Comedy|Drama,R,Comedy,1995,6.7,Paul Auster,Paul Auster,Harvey Keitel,United States,Miramax
157,canadian bacon,Comedy|War,PG,Comedy,1995,5.9,Michael Moore,Michael Moore,John Candy,United States,Dog Eat Dog Films
158,casper,Adventure|Children,PG,Comedy,1995,6.1,Brad Silberling,Joseph Oriolo,Bill Pullman,United States,Universal Pictures
159,clockers,Crime|Drama|Mystery,R,Crime,1995,6.9,Spike Lee,Richard Price,Harvey Keitel,United States,Universal Pictures
160,congo,Action|Adventure|Mystery|Sci-Fi,PG-13,Action,1995,5.2,Frank Marshall,Michael Crichton,Laura Linney,United States,Paramount Pictures
161,crimson tide,Drama|Thriller|War,R,Action,1995,7.3,Tony Scott,Michael Schiffer,Gene Hackman,United States,Hollywood Pictures
163,desperado,Action|Romance|Western,R,Action,1995,7.2,Robert Rodriguez,Robert Rodriguez,Antonio Banderas,United States,Columbia Pictures
164,devil in a blue dress,Crime|Film-Noir|Mystery|Thriller,R,Crime,1995,6.7,Carl Franklin,Walter Mosley,Denzel Washington,United States,TriStar Pictures
168,first knight,Action|Drama|Romance,PG-13,Action,1995,6.0,Jerry Zucker,Lorne Cameron,Sean Connery,United States,Columbia Pictures
169,free willy 2: the adventure home,Adventure|Children|Drama,PG,Adventure,1995,5.1,Dwight H. Little,Keith Walker,Jason James Richter,France,Warner Bros. Family Entertainment
170,hackers,Action|Adventure|Crime|Thriller,PG-13,Comedy,1995,6.2,Iain Softley,Rafael Moreu,Jonny Lee Miller,United States,United Artists
171,jeffrey,Comedy|Drama,R,Comedy,1995,6.8,Christopher Ashley,Paul Rudnick,Steven Weber,United States,The Booking Office
172,johnny mnemonic,Action|Sci-Fi|Thriller,R,Action,1995,5.7,Robert Longo,William Gibson,Keanu Reeves,Canada,TriStar Pictures
173,judge dredd,Action|Crime|Sci-Fi,R,Action,1995,5.6,Danny Cannon,John Wagner,Sylvester Stallone,United States,Hollywood Pictures
174,jury duty,Comedy,PG-13,Comedy,1995,4.3,John Fortenberry,Barbara Williams,Pauly Shore,United States,TriStar Pictures
175,kids,Drama,NC-17,Drama,1995,7.1,Larry Clark,Harmony Korine,Leo Fitzpatrick,United States,Guys Upstairs
176,living in oblivion,Comedy,R,Comedy,1995,7.5,Tom DiCillo,Tom DiCillo,Steve Buscemi,United States,JDI Productions
177,lord of illusions,Horror,R,Horror,1995,6.1,Clive Barker,Clive Barker,Scott Bakula,United States,Seraphim Films
179,mad love,Drama|Romance,PG-13,Comedy,1995,5.4,Antonia Bird,Paula Milne,Chris O'Donnell,United States,Touchstone Pictures
180,mallrats,Comedy|Romance,R,Comedy,1995,7.1,Kevin Smith,Kevin Smith,Shannen Doherty,United States,Gramercy Pictures (I)
181,mighty morphin power rangers: the movie,Action|Children,PG,Action,1995,5.2,Bryan Spicer,John Kamps,Karan Ashley,United States,Twentieth Century Fox
186,nine months,Comedy|Romance,PG-13,Comedy,1995,5.5,Chris Columbus,Patrick Braoudé,Hugh Grant,United States,Twentieth Century Fox
187,party girl,Comedy,R,Comedy,1995,6.5,Daisy von Scherler Mayer,Harry Birckmayer,Parker Posey,United States,Party Productions
189,reckless,Comedy|Fantasy,R,Comedy,1984,6.3,James Foley,Chris Columbus,Aidan Quinn,United States,Edgar J. Scherick Associates
190,safe,Thriller,R,Drama,1995,7.2,Todd Haynes,Todd Haynes,Julianne Moore,United Kingdom,American Playhouse Theatrical Films
190,safe,Thriller,R,Action,2012,6.5,Boaz Yakin,Boaz Yakin,Jason Statham,United States,IM Global
94405,safe,Action|Crime|Thriller,R,Drama,1995,7.2,Todd Haynes,Todd Haynes,Julianne Moore,United Kingdom,American Playhouse Theatrical Films
94405,safe,Action|Crime|Thriller,R,Action,2012,6.5,Boaz Yakin,Boaz Yakin,Jason Statham,United States,IM Global
193,showgirls,Drama,NC-17,Drama,1995,4.9,Paul Verhoeven,Joe Eszterhas,Elizabeth Berkley,France,Carolco Pictures
194,smoke,Comedy|Drama,R,Comedy,1995,7.4,Wayne Wang,Paul Auster,Harvey Keitel,Germany,Miramax
195,something to talk about,Comedy|Drama|Romance,R,Comedy,1995,5.7,Lasse Hallström,Callie Khouri,Julia Roberts,United States,Hawn / Sylbert Movie Company
196,species,Horror|Sci-Fi,R,Action,1995,5.8,Roger Donaldson,Dennis Feldman,Natasha Henstridge,United States,Metro-Goldwyn-Mayer (MGM)
198,strange days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,R,Action,1995,7.2,Kathryn Bigelow,James Cameron,Ralph Fiennes,United States,Lightstorm Entertainment
201,three wishes,Drama|Fantasy,PG,Drama,1995,6.1,Martha Coolidge,Clifford Green,Patrick Swayze,United States,Rysher Entertainment
202,total eclipse,Drama|Romance,R,Biography,1995,6.5,Agnieszka Holland,Christopher Hampton,Leonardo DiCaprio,United Kingdom,FIT Productions
204,under siege 2: dark territory,Action,R,Action,1995,5.5,Geoff Murphy,Richard Hatem,Steven Seagal,United States,Warner Bros.
208,waterworld,Action|Adventure|Sci-Fi,PG-13,Action,1995,6.2,Kevin Reynolds,Peter Rader,Kevin Costner,United States,Universal Pictures
209,white man's burden,Drama,R,Drama,1995,5.3,Desmond Nakano,Desmond Nakano,John Travolta,France,A Band Apart
210,wild bill,Western,R,Action,1995,5.9,Walter Hill,Peter Dexter,Jeff Bridges,United States,The Zanuck Company
212,bushwhacked,Adventure|Comedy|Crime|Mystery,PG-13,Adventure,1995,5.6,Greg Beeman,John Jordan,Daniel Stern,United States,Twentieth Century Fox
215,before sunrise,Drama|Romance,R,Drama,1995,8.1,Richard Linklater,Richard Linklater,Ethan Hawke,United States,Castle Rock Entertainment
216,billy madison,Comedy,PG-13,Comedy,1995,6.4,Tamra Davis,Tim Herlihy,Adam Sandler,United States,Universal Pictures
218,boys on the side,Comedy|Drama,R,Comedy,1995,6.5,Herbert Ross,Don Roos,Whoopi Goldberg,United States,Alcor Films
222,circle of friends,Drama|Romance,PG-13,Drama,1995,6.6,Pat O'Connor,Andrew Davies,Chris O'Donnell,Ireland,Price Entertainment
223,clerks,Comedy,R,Comedy,1994,7.7,Kevin Smith,Kevin Smith,Brian O'Halloran,United States,View Askew Productions
224,don juan demarco,Comedy|Drama|Romance,PG-13,Comedy,1994,6.7,Jeremy Leven,Lord Byron,Johnny Depp,United States,New Line Cinema
225,disclosure,Drama|Thriller,R,Drama,1994,6.1,Barry Levinson,Michael Crichton,Michael Douglas,United States,Warner Bros.
227,drop zone,Action|Thriller,R,Action,1994,5.6,John Badham,Tony Griffin,Wesley Snipes,United States,Paramount Pictures
229,death and the maiden,Drama|Thriller,R,Drama,1994,7.3,Roman Polanski,Ariel Dorfman,Sigourney Weaver,United Kingdom,Fine Line Features
230,dolores claiborne,Drama|Thriller,R,Crime,1995,7.4,Taylor Hackford,Stephen King,Kathy Bates,United States,Castle Rock Entertainment
233,exotica,Drama,R,Drama,1994,7.1,Atom Egoyan,Atom Egoyan,Bruce Greenwood,Canada,Alliance Entertainment
234,exit to eden,Comedy,R,Comedy,1994,4.3,Garry Marshall,Anne Rice,Dana Delany,United States,Savoy Pictures
235,ed wood,Comedy|Drama,R,Biography,1994,7.8,Tim Burton,Rudolph Grey,Johnny Depp,United States,Touchstone Pictures
236,french kiss,Action|Comedy|Romance,PG-13,Comedy,1995,6.6,Lawrence Kasdan,Adam Brooks,Meg Ryan,United Kingdom,Polygram Filmed Entertainment
237,forget paris,Comedy|Romance,PG-13,Comedy,1995,6.5,Billy Crystal,Billy Crystal,Billy Crystal,United States,Castle Rock Entertainment
238,far from home: the adventures of yellow dog,Adventure|Children,PG,Adventure,1995,6.4,Phillip Borsos,Phillip Borsos,Jesse Bradford,United States,Twentieth Century Fox
240,hideaway,Thriller,R,Fantasy,1995,5.3,Brett Leonard,Dean R. Koontz,Jeff Goldblum,United States,TriStar Pictures
241,fluke,Children|Drama,PG,Drama,1995,6.7,Carlo Carlei,James Herbert,Matthew Modine,United States,Metro-Goldwyn-Mayer (MGM)
247,heavenly creatures,Crime|Drama,R,Biography,1994,7.3,Peter Jackson,Fran Walsh,Melanie Lynskey,New Zealand,WingNut Films
248,houseguest,Comedy,PG,Comedy,1995,6.0,Randall Miller,Michael J. Di Gaetano,Sinbad,United States,Hollywood Pictures
249,immortal beloved,Drama|Romance,R,Biography,1994,7.4,Bernard Rose,Bernard Rose,Gary Oldman,United Kingdom,Icon Entertainment International
252,i.q.,Comedy|Romance,PG,Comedy,1994,6.2,Fred Schepisi,Andy Breckman,Tim Robbins,United States,Paramount Pictures
253,interview with the vampire: the vampire chronicles,Drama|Horror,R,Drama,1994,7.5,Neil Jordan,Anne Rice,Brad Pitt,United States,Geffen Pictures
254,jefferson in paris,Drama,PG-13,Biography,1995,5.7,James Ivory,Ruth Prawer Jhabvala,Nick Nolte,United States,Touchstone Pictures
256,junior,Comedy|Sci-Fi,PG-13,Comedy,1994,4.6,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,United States,Universal Pictures
257,just cause,Mystery|Thriller,R,Action,1995,6.4,Arne Glimcher,John Katzenbach,Sean Connery,United States,Warner Bros.
259,kiss of death,Crime|Drama|Thriller,R,Crime,1995,5.9,Barbet Schroeder,Eleazar Lipsky,David Caruso,United States,Twentieth Century Fox
261,little women,Drama,PG,Drama,1994,7.3,Gillian Armstrong,Louisa May Alcott,Susan Sarandon,United States,Columbia Pictures
261,little women,Drama,PG,Drama,2019,7.8,Greta Gerwig,Greta Gerwig,Saoirse Ronan,United States,Columbia Pictures
4921,little women,Drama|Romance,PG,Drama,1994,7.3,Gillian Armstrong,Louisa May Alcott,Susan Sarandon,United States,Columbia Pictures
4921,little women,Drama|Romance,PG,Drama,2019,7.8,Greta Gerwig,Greta Gerwig,Saoirse Ronan,United States,Columbia Pictures
7054,little women,Drama,PG,Drama,1994,7.3,Gillian Armstrong,Louisa May Alcott,Susan Sarandon,United States,Columbia Pictures
7054,little women,Drama,PG,Drama,2019,7.8,Greta Gerwig,Greta Gerwig,Saoirse Ronan,United States,Columbia Pictures
266,legends of the fall,Drama|Romance|War|Western,R,Drama,1994,7.5,Edward Zwick,Susan Shilliday,Brad Pitt,United States,TriStar Pictures
267,major payne,Comedy,PG-13,Adventure,1995,6.3,Nick Castle,Joe Connelly,Damon Wayans,United States,Universal Pictures
270,love affair,Drama|Romance,PG-13,Comedy,1994,6.0,Glenn Gordon Caron,Mildred Cram,Warren Beatty,United States,Mulholland Productions
6837,love affair,Comedy|Drama|Romance,PG-13,Comedy,1994,6.0,Glenn Gordon Caron,Mildred Cram,Warren Beatty,United States,Mulholland Productions
271,losing isaiah,Drama,R,Drama,1995,6.4,Stephen Gyllenhaal,Seth Margolis,Jessica Lange,United States,Paramount Pictures
274,man of the house,Comedy,PG,Comedy,1995,5.2,James Orr,David E. Peckinpah,Chevy Chase,United States,All Girl Productions
274,man of the house,Comedy,PG-13,Comedy,2005,5.4,Stephen Herek,John J. McLaughlin,Tommy Lee Jones,United States,Revolution Studios
31867,man of the house,Action|Comedy,PG,Comedy,1995,5.2,James Orr,David E. Peckinpah,Chevy Chase,United States,All Girl Productions
31867,man of the house,Action|Comedy,PG-13,Comedy,2005,5.4,Stephen Herek,John J. McLaughlin,Tommy Lee Jones,United States,Revolution Studios
275,mixed nuts,Comedy,PG-13,Comedy,1994,5.4,Nora Ephron,Nora Ephron,Steve Martin,United States,TriStar Pictures
276,milk money,Comedy|Romance,PG-13,Comedy,1994,5.6,Richard Benjamin,John Mattson,Melanie Griffith,United States,Paramount Pictures
277,miracle on 34th street,Drama,PG,Family,1994,6.5,Les Mayfield,Valentine Davies,Richard Attenborough,United States,Twentieth Century Fox
2398,miracle on 34th street,Comedy|Drama,PG,Family,1994,6.5,Les Mayfield,Valentine Davies,Richard Attenborough,United States,Twentieth Century Fox
278,miami rhapsody,Comedy,PG-13,Comedy,1995,5.4,David Frankel,David Frankel,Sarah Jessica Parker,United States,Cantaloupe Production
279,my family,Drama,R,Drama,1995,7.3,Gregory Nava,Gregory Nava,Jimmy Smits,United States,American Playhouse
280,murder in the first,Drama|Thriller,R,Drama,1995,7.3,Marc Rocco,Dan Gordon,Christian Slater,United States,Warner Bros.
281,nobody's fool,Comedy|Drama|Romance,PG-13,Comedy,1986,5.5,Evelyn Purcell,Beth Henley,Rosanna Arquette,United States,Island Pictures
281,nobody's fool,Comedy|Drama|Romance,R,Comedy,1994,7.4,Robert Benton,Richard Russo,Paul Newman,United States,Capella International
281,nobody's fool,Comedy|Drama|Romance,R,Comedy,2018,4.9,Tyler Perry,Tyler Perry,Tiffany Haddish,United States,BET Films
282,nell,Drama,PG-13,Drama,1994,6.5,Michael Apted,Mark Handley,Jodie Foster,United States,Egg Pictures
283,new jersey drive,Crime|Drama,R,Crime,1995,6.7,Nick Gomez,Nick Gomez,Shar-Ron Corley,United States,40 Acres & A Mule Filmworks
288,natural born killers,Action|Crime|Thriller,R,Action,1994,7.3,Oliver Stone,Quentin Tarantino,Woody Harrelson,United States,Warner Bros.
289,only you,Comedy|Romance,PG,Comedy,1994,6.5,Norman Jewison,Diane Drake,Marisa Tomei,United States,TriStar Pictures
290,once were warriors,Crime|Drama,R,Crime,1994,7.9,Lee Tamahori,Riwia Brown,Rena Owen,New Zealand,Communicado Productions
292,outbreak,Action|Drama|Sci-Fi|Thriller,R,Action,1995,6.6,Wolfgang Petersen,Laurence Dworet,Dustin Hoffman,United States,Warner Bros.
296,pulp fiction,Comedy|Crime|Drama|Thriller,R,Crime,1994,8.9,Quentin Tarantino,Quentin Tarantino,John Travolta,United States,Miramax
299,priest,Drama,R,Drama,1994,7.1,Antonia Bird,Jimmy McGovern,Linus Roache,United Kingdom,BBC Films
299,priest,Drama,PG-13,Action,2011,5.7,Scott Stewart,Cory Goodman,Paul Bettany,United States,Screen Gems
86835,priest,Action|Horror|Sci-Fi|Thriller,R,Drama,1994,7.1,Antonia Bird,Jimmy McGovern,Linus Roache,United Kingdom,BBC Films
86835,priest,Action|Horror|Sci-Fi|Thriller,PG-13,Action,2011,5.7,Scott Stewart,Cory Goodman,Paul Bettany,United States,Screen Gems
300,quiz show,Drama,PG-13,Biography,1994,7.5,Robert Redford,Paul Attanasio,Ralph Fiennes,United States,Baltimore Pictures
316,stargate,Action|Adventure|Sci-Fi,PG-13,Action,1994,7.1,Roland Emmerich,Dean Devlin,Kurt Russell,United States,Canal+
319,shallow grave,Comedy|Drama|Thriller,R,Crime,1994,7.3,Danny Boyle,John Hodge,Kerry Fox,United Kingdom,Channel Four Films
